question,answer
"Count the number of characters in the string (including spaces and punctuation): ""GEPA: test #1""","12"
"How many distinct letters are in the word ""bookkeeper""?","6"
"How many r's are in the word ""strawberry"" (case-insensitive)?","2"
"Which is larger: 0.099 or 0.1?","0.1"
"Compute: 7*(13-5)+4^2","72"
"Compute: (5/2) + (7/4) as an irreducible fraction.","17/4"
"Compute: 1/3 + 1/6 + 1/12 as an irreducible fraction.","7/12"
"Simplify: gcd(420, 96)","12"
"Evaluate: lcm(18, 24)","72"
"Convert 101101 (base 2) to base 10.","45"
"Convert 255 (base 10) to base 16 (uppercase, no 0x).","FF"
"How many set bits (1s) are in the binary representation of 2025?","8"
"Sort these strings lexicographically (ASCII, ascending) and return the 2nd: [""Zebra"", ""apple"", ""Apple"", ""banana""]","Zebra"
"Reverse the words (not characters) in: ""red  blue green"" (note two spaces between red and blue).","green blue  red"
"Given JSON: {""a"":1,""b"":[2,3],""c"":{""d"":4}}. What is the value at path c.d?","4"
"Given the list [3, 1, 4, 1, 5, 9], what is the median?","3.5"
"Is the statement true or false: ""All prime numbers are odd.""","false"
"Smallest prime factor of 221?","13"
"Compute: 0.2 repeating (i.e., 0.2222...) as a reduced fraction.","2/9"
"Given the regex ^a.*b$ and the string ""acccb"", does it match? (yes/no)","yes"